ride_month,day_of_week,hour_of_day,ride_count
1,1,0,1365
1,1,1,1060
1,1,2,740
1,1,3,527
1,1,4,295
1,1,5,210
1,1,6,424
1,1,7,950
1,1,8,1879
1,1,9,3373
1,1,10,4898
1,1,11,6232
1,1,12,7166
1,1,13,7941
1,1,14,8283
1,1,15,7989
1,1,16,6486
1,1,17,5652
1,1,18,4930
1,1,19,3799
1,1,20,3108
1,1,21,2468
1,1,22,1877
1,1,23,1208
1,2,0,671
1,2,1,386
1,2,2,197
1,2,3,124
1,2,4,208
1,2,5,894
1,2,6,2766
1,2,7,5557
1,2,8,10155
1,2,9,7508
1,2,10,4716
1,2,11,4649
1,2,12,5016
1,2,13,5006
1,2,14,5321
1,2,15,5432
1,2,16,5916
1,2,17,7984
1,2,18,7806
1,2,19,5431
1,2,20,3588
1,2,21,2422
1,2,22,1720
1,2,23,852
1,3,0,431
1,3,1,218
1,3,2,104
1,3,3,81
1,3,4,188
1,3,5,1103
1,3,6,3904
1,3,7,8282
1,3,8,14628
1,3,9,8394
1,3,10,3703
1,3,11,2292
1,3,12,2324
1,3,13,2473
1,3,14,2997
1,3,15,3507
1,3,16,4989
1,3,17,9235
1,3,18,9286
1,3,19,5998
1,3,20,4008
1,3,21,2995
1,3,22,2092
1,3,23,1184
1,4,0,459
1,4,1,262
1,4,2,122
1,4,3,70
1,4,4,179
1,4,5,1151
1,4,6,3960
1,4,7,8550
1,4,8,14924
1,4,9,9741
1,4,10,5192
1,4,11,4649
1,4,12,5685
1,4,13,5971
1,4,14,6361
1,4,15,6785
1,4,16,8905
1,4,17,14623
1,4,18,14378
1,4,19,9301
1,4,20,5982
1,4,21,3465
1,4,22,2269
1,4,23,1262
1,5,0,620
1,5,1,336
1,5,2,164
1,5,3,107
1,5,4,173
1,5,5,1213
1,5,6,4213
1,5,7,9217
1,5,8,15047
1,5,9,9270
1,5,10,5217
1,5,11,4851
1,5,12,5889
1,5,13,6301
1,5,14,6829
1,5,15,7181
1,5,16,8780
1,5,17,14054
1,5,18,14077
1,5,19,9314
1,5,20,6046
1,5,21,4120
1,5,22,2945
1,5,23,1775
1,6,0,890
1,6,1,441
1,6,2,242
1,6,3,139
1,6,4,174
1,6,5,1015
1,6,6,3645
1,6,7,7641
1,6,8,14233
1,6,9,10275
1,6,10,5258
1,6,11,4952
1,6,12,5685
1,6,13,6306
1,6,14,6750
1,6,15,6468
1,6,16,7378
1,6,17,10373
1,6,18,8949
1,6,19,6158
1,6,20,3840
1,6,21,2564
1,6,22,1963
1,6,23,1595
1,7,0,1111
1,7,1,689
1,7,2,446
1,7,3,311
1,7,4,213
1,7,5,226
1,7,6,579
1,7,7,1392
1,7,8,2591
1,7,9,4035
1,7,10,5008
1,7,11,5583
1,7,12,6068
1,7,13,5939
1,7,14,5617
1,7,15,5043
1,7,16,4649
1,7,17,3938
1,7,18,3310
1,7,19,2828
1,7,20,2111
1,7,21,1666
1,7,22,1481
1,7,23,1322
2,1,0,1228
2,1,1,908
2,1,2,534
2,1,3,339
2,1,4,192
2,1,5,136
2,1,6,379
2,1,7,932
2,1,8,2139
2,1,9,3560
2,1,10,4869
2,1,11,6237
2,1,12,7410
2,1,13,7975
2,1,14,8474
2,1,15,8393
2,1,16,8361
2,1,17,7329
2,1,18,5537
2,1,19,3816
2,1,20,2807
2,1,21,2236
2,1,22,2207
2,1,23,1539
2,2,0,753
2,2,1,344
2,2,2,184
2,2,3,94
2,2,4,155
2,2,5,800
2,2,6,2989
2,2,7,6486
2,2,8,11763
2,2,9,8457
2,2,10,5282
2,2,11,5336
2,2,12,6182
2,2,13,6711
2,2,14,7215
2,2,15,7582
2,2,16,8735
2,2,17,13356
2,2,18,12221
2,2,19,8219
2,2,20,5413
2,2,21,3642
2,2,22,2357
2,2,23,1272
2,3,0,628
2,3,1,261
2,3,2,143
2,3,3,61
2,3,4,186
2,3,5,1177
2,3,6,3768
2,3,7,8076
2,3,8,13916
2,3,9,9649
2,3,10,5099
2,3,11,4007
2,3,12,4815
2,3,13,5490
2,3,14,5856
2,3,15,6373
2,3,16,8061
2,3,17,13601
2,3,18,13432
2,3,19,8594
2,3,20,5738
2,3,21,3922
2,3,22,2765
2,3,23,1581
2,4,0,731
2,4,1,339
2,4,2,195
2,4,3,76
2,4,4,170
2,4,5,1152
2,4,6,4296
2,4,7,9192
2,4,8,16586
2,4,9,11179
2,4,10,5761
2,4,11,5282
2,4,12,6340
2,4,13,6673
2,4,14,7128
2,4,15,7351
2,4,16,9315
2,4,17,15128
2,4,18,14080
2,4,19,9623
2,4,20,6451
2,4,21,4406
2,4,22,3065
2,4,23,1301
2,5,0,598
2,5,1,282
2,5,2,149
2,5,3,69
2,5,4,122
2,5,5,849
2,5,6,3155
2,5,7,6958
2,5,8,11901
2,5,9,8021
2,5,10,4181
2,5,11,3705
2,5,12,4314
2,5,13,4606
2,5,14,4891
2,5,15,5389
2,5,16,6783
2,5,17,11026
2,5,18,10621
2,5,19,6978
2,5,20,4623
2,5,21,3217
2,5,22,2259
2,5,23,1374
2,6,0,743
2,6,1,319
2,6,2,224
2,6,3,101
2,6,4,122
2,6,5,724
2,6,6,2844
2,6,7,6119
2,6,8,11084
2,6,9,8193
2,6,10,4417
2,6,11,4285
2,6,12,5132
2,6,13,5396
2,6,14,5923
2,6,15,6646
2,6,16,8404
2,6,17,11476
2,6,18,9479
2,6,19,6001
2,6,20,3662
2,6,21,2434
2,6,22,2061
2,6,23,1606
2,7,0,1101
2,7,1,709
2,7,2,395
2,7,3,285
2,7,4,164
2,7,5,183
2,7,6,511
2,7,7,1266
2,7,8,2612
2,7,9,4375
2,7,10,5617
2,7,11,7004
2,7,12,8297
2,7,13,8893
2,7,14,9126
2,7,15,9538
2,7,16,8904
2,7,17,7300
2,7,18,4429
2,7,19,3173
2,7,20,2476
2,7,21,2059
2,7,22,1990
2,7,23,1670
3,1,0,777
3,1,1,531
3,1,2,234
3,1,3,207
3,1,4,123
3,1,5,117
3,1,6,303
3,1,7,638
3,1,8,1349
3,1,9,2436
3,1,10,3430
3,1,11,4374
3,1,12,5083
3,1,13,5150
3,1,14,5300
3,1,15,5391
3,1,16,5314
3,1,17,5218
3,1,18,4612
3,1,19,3439
3,1,20,2208
3,1,21,1657
3,1,22,1156
3,1,23,757
