ride_month,station,lat,long,ride_count
1,1 Ave & E 16 St,40.73221853,-73.98165557,3370
1,1 Ave & E 18 St,40.733812191966315,-73.980544209480286,2961
1,1 Ave & E 30 St,40.74144387,-73.97536082,2720
1,1 Ave & E 44 St,40.75001986,-73.96905301,1735
1,1 Ave & E 62 St,40.7612274,-73.96094022,1940
1,1 Ave & E 68 St,40.76500525,-73.95818491,3508
1,1 Ave & E 78 St,40.77140426,-73.9535166,2031
1,1 Ave & E 94 St,40.7817212,-73.94594,615
1,1 Pl & Clinton St,40.6809591,-73.99905709,255
1,10 St & 5 Ave,40.6686273,-73.98700053,204
1,10 St & 7 Ave,40.6662078,-73.98199886,391
1,11 Ave & W 27 St,40.751396,-74.005226,2214
1,11 Ave & W 41 St,40.76030096,-73.99884222,2237
1,11 Ave & W 59 St,40.771522,-73.990541,1797
1,12 Ave & W 40 St,40.76087502,-74.00277668,2029
1,12 St & 4 Ave,40.668603,-73.9904394,151
1,14 St & 5 Ave,40.666287,-73.98895053,344
1,14 St & 7 Ave,40.663779,-73.98396846,329
1,2 Ave  & E 104 St,40.7892105,-73.94370784,264
1,2 Ave & 9 St,40.6724811,-73.99331394,165
1,2 Ave & E 31 St,40.74290902,-73.97706058,2301
1,2 Ave & E 99 St,40.7862586,-73.94552579,262
1,21 St & 41 Ave,40.753833434376219,-73.942676782608018,137
1,21 St & 43 Ave,40.75052534,-73.94594845,115
1,3 Ave & 14 St,40.6685455,-73.99333264,201
1,3 Ave & E 100 St,40.7877214,-73.94728331,94
1,3 Ave & E 62 St,40.76312584,-73.96526895,1090
1,3 Ave & E 71 St,40.76873687,-73.96119945,628
1,3 Ave & E 72 St,40.7699426,-73.96060712,558
1,3 Ave & Schermerhorn St,40.68683208,-73.9796772,93
1,3 St & 3 Ave,40.6750705,-73.98775226,563
1,3 St & 7 Ave,40.6703837,-73.97839676,449
1,3 St & Hoyt St,40.6777287,-73.99364123,254
1,3 St & Prospect Park West,40.668132,-73.97363831,394
1,31 St & Thomson Ave,40.74469738,-73.93540375,112
1,4 Ave & 2 St,40.674613422475815,-73.985011428594589,159
1,4 Ave & 9 St,40.6705135,-73.98876585,382
1,44 Dr & Jackson Ave,40.74718234,-73.9432635,393
1,45 Rd & 11 St,40.74708586,-73.94977234,452
1,46 Ave & 5 St,40.74731,-73.95451,492
1,47 Ave & 31 St,40.743,-73.93561,118
1,48 Ave & 5 St,40.744363287066875,-73.9558732509613,193
1,5 Ave & 3 St,40.6728155,-73.98352355,622
1,5 Ave & E 103 St,40.7922553,-73.95249933,565
1,5 Ave & E 29 St,40.7451677,-73.98683077,2691
1,5 Ave & E 63 St,40.766368,-73.971518,474
1,5 Ave & E 73 St,40.77282817,-73.96685276,1316
1,5 Ave & E 78 St,40.776828634399678,-73.963887691497789,1142
1,5 Ave & E 88 St,40.78307,-73.95939,1004
1,5 Ave & E 93 St,40.7857851,-73.957481,560
1,5 St & 6 Ave,40.6704836,-73.98208968,251
1,6 Ave & 12 St,40.6663181,-73.9854617,254
1,6 Ave & 9 St,40.668127,-73.98377641,458
