ride_date,ride_count,precip,avg_tmp
2017-12-28,13420,0.0,15
2017-12-31,6569,0.0,15
2017-12-29,13759,0.0,17
2017-01-09,15856,0.0,19
2017-01-08,6417,0.0,21
2017-12-27,16365,0.0,21
2017-03-11,15185,0.0,23
2017-03-04,15646,0.0,24
2017-03-12,13442,0.0,24
2017-02-10,1997,0.0,26
2017-03-05,15919,0.0,26
2017-12-13,32623,0.0,26
2017-12-26,14113,0.0,26
2017-02-04,19204,0.0,28
2017-03-13,27417,0.0,28
2017-02-03,29632,0.0,30
2017-01-05,28393,0.0,31
2017-11-11,28142,0.0,31
2017-12-16,19060,0.0,31
2017-02-16,29120,0.0,32
2017-03-03,31105,0.0,32
2017-03-23,29885,0.0,33
2017-02-17,28735,0.0,34
2017-01-10,23232,0.0,34
2017-01-30,29616,0.0,34
2017-01-15,17384,0.0,34
2017-12-10,19815,0.0,34
2017-02-14,29668,0.0,35
2017-12-17,22403,0.0,35
2017-03-06,32467,0.0,36
2017-12-21,37592,0.0,36
2017-02-05,20059,0.0,37
2017-03-22,26927,0.0,37
2017-01-16,24110,0.0,37
2017-01-28,21302,0.0,37
2017-11-23,13705,0.0,37
2017-12-11,41838,0.0,37
2017-12-08,41330,0.0,37
2017-03-17,7098,0.0,38
2017-02-02,34517,0.0,39
2017-02-11,8959,0.0,39
2017-01-29,22527,0.0,39
2017-11-12,32471,0.0,39
2017-02-01,35221,0.0,40
2017-02-26,24714,0.0,40
2017-01-27,32394,0.0,40
2017-12-12,42620,0.0,40
2017-02-15,32052,0.0,41
2017-02-21,32643,0.0,41
2017-03-19,10550,0.0,41
2017-12-07,45367,0.0,41
2017-11-14,52279,0.0,42
2017-11-17,48991,0.0,42
2017-11-20,45121,0.0,42
2017-02-06,33415,0.0,43
2017-03-20,27378,0.0,43
2017-01-04,34039,0.0,43
2017-04-01,23849,0.0,43
2017-11-24,23724,0.0,43
2017-12-20,41463,0.0,43
2017-12-22,34341,0.0,43
2017-01-19,36561,0.0,44
2017-01-25,36931,0.0,44
2017-01-01,16009,0.0,44
2017-11-08,54211,0.0,44
2017-11-15,54230,0.0,44
2017-12-02,38923,0.0,44
2017-02-27,35984,0.0,45
2017-01-21,26610,0.0,45
2017-11-27,46733,0.0,45
2017-11-28,51170,0.0,45
2017-12-03,33728,0.0,45
2017-04-07,35779,0.0,46
2017-11-26,27181,0.0,46
2017-12-04,49630,0.0,46
2017-02-20,32292,0.0,47
2017-03-24,34018,0.0,47
2017-01-13,33611,0.0,47
2017-11-09,58417,0.0,47
2017-12-01,50708,0.0,47
2017-02-18,30571,0.0,49
2017-04-08,35936,0.0,49
2017-02-22,38119,0.0,50
2017-03-02,35739,0.0,50
2017-04-19,45787,0.0,50
2017-11-21,52451,0.0,50
2017-11-25,30518,0.0,50
2017-12-19,49503,0.0,50
2017-12-06,46335,0.0,50
2017-10-17,64480,0.0,50
2017-03-29,42430,0.0,51
2017-03-21,36824,0.0,51
2017-11-01,60773,0.0,51
2017-11-04,53435,0.0,51
2017-05-08,51553,0.0,51
2017-10-31,60242,0.0,51
2017-04-02,39780,0.0,52
2017-02-28,41835,0.0,53
2017-11-29,55295,0.0,53
2017-03-09,45252,0.0,54
2017-04-24,48692,0.0,54
2017-10-26,64003,0.0,54
2017-02-23,42434,0.0,55
2017-04-05,47636,0.0,55
2017-05-09,56461,0.0,55
2017-10-27,69268,0.0,55
2017-04-09,43896,0.0,56
2017-04-18,53809,0.0,56
2017-04-23,49107,0.0,56
2017-05-04,57429,0.0,56
2017-05-10,58454,0.0,56
2017-04-13,52915,0.0,57
2017-04-14,52232,0.0,57
2017-05-11,57208,0.0,57
2017-05-12,56675,0.0,57
2017-04-15,42531,0.0,58
2017-05-03,59252,0.0,58
2017-02-19,36963,0.0,59
2017-10-01,55505,0.0,59
2017-06-07,64453,0.0,59
2017-04-30,42928,0.0,60
2017-10-13,67020,0.0,60
2017-09-30,50153,0.0,60
2017-05-21,54874,0.0,61
2017-05-15,54715,0.0,61
2017-10-18,70234,0.0,61
2017-05-01,56218,0.0,62
2017-10-25,71287,0.0,62
2017-10-28,61348,0.0,62
2017-06-08,62653,0.0,62
